
========================================================================
Sweep: oyjcr9n8  (neuro_tdl/neuro/oyjcr9n8)
Metric: val_best_rerun/accuracy (averaged over data_seed in [0, 1, 2])
Grid parameters: ['model.feature_encoder.out_channels', 'optimizer.parameters.lr']
Total configs (rows): 12  (expected: runs/3)
========================================================================
  model.feature_encoder.out_channels | optimizer.parameters.lr | mean_val_best_rerun_accuracy | std_val_best_rerun_accuracy | n_seeds | mean_val_best_rerun_auroc | mean_val_best_rerun_loss | mean_test_best_rerun_accuracy | mean_test_best_rerun_auroc | mean_best_epoch | mean_epoch | mean_runtime
  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  64 | 0.01 | 0.2252 | 0.0459 | 3 | 0.4869 | 2.2702 | 0.1053 | 0.4494 | 49.0000 | 169.0000 | 153.0000
  16 | 0.01 | 0.2162 | 0.0221 | 3 | 0.4588 | 2.3350 | 0.1316 | 0.4505 | 55.6667 | 175.6667 | 159.3333
  16 | 0.0001 | 0.1982 | 0.0127 | 3 | 0.4815 | 2.0812 | 0.1491 | 0.4119 | 62.3333 | 182.3333 | 170.3333
  32 | 0.01 | 0.1982 | 0.0892 | 3 | 0.4509 | 2.5049 | 0.1316 | 0.4340 | 47.3333 | 167.3333 | 155.0000
  8 | 0.0001 | 0.1982 | 0.0510 | 3 | 0.4982 | 2.3378 | 0.1316 | 0.4857 | 30.6667 | 150.6667 | 144.6667
  16 | 0.001 | 0.1892 | 0.0221 | 3 | 0.4010 | 2.2264 | 0.1228 | 0.3960 | 42.3333 | 162.3333 | 144.3333
  8 | 0.001 | 0.1892 | 0.0382 | 3 | 0.4711 | 2.1879 | 0.1491 | 0.4601 | 42.3333 | 162.3333 | 156.0000
  8 | 0.01 | 0.1802 | 0.0255 | 3 | 0.4711 | 2.4976 | 0.1316 | 0.4599 | 67.3333 | 187.3333 | 176.3333
  32 | 0.001 | 0.1712 | 0.0459 | 3 | 0.4313 | 2.2428 | 0.1140 | 0.3960 | 40.6667 | 160.6667 | 146.3333
  64 | 0.001 | 0.1622 | 0.0221 | 3 | 0.4318 | 2.2593 | 0.1140 | 0.4184 | 45.6667 | 165.6667 | 152.0000
  64 | 0.0001 | 0.1441 | 0.0459 | 3 | 0.4847 | 2.2040 | 0.1140 | 0.4510 | 15.6667 | 135.6667 | 131.3333
  32 | 0.0001 | 0.1441 | 0.0255 | 3 | 0.4537 | 2.1206 | 0.1404 | 0.4456 | 54.0000 | 174.0000 | 160.0000


========================================================================
Sweep: j5nv0hqh  (neuro_tdl/neuro/j5nv0hqh)
Metric: val_best_rerun/accuracy (averaged over data_seed in [0, 1, 2])
Grid parameters: ['model.backbone.n_layers', 'model.feature_encoder.out_channels', 'optimizer.parameters.lr']
Total configs (rows): 12  (expected: runs/3)
========================================================================
  model.backbone.n_layers | model.feature_encoder.out_channels | optimizer.parameters.lr | mean_val_best_rerun_accuracy | std_val_best_rerun_accuracy | n_seeds | mean_val_best_rerun_auroc | mean_val_best_rerun_loss | mean_test_best_rerun_accuracy | mean_test_best_rerun_auroc | mean_best_epoch | mean_epoch | mean_runtime
  -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1 | 16 | 0.01 | 0.2432 | 0.0000 | 1 | 0.5038 | 2.4093 | 0.1579 | 0.5345 | 149.0000 | 269.0000 | 254.0000
  2 | 8 | 0.01 | 0.2432 | 0.0000 | 1 | 0.4846 | 2.1987 | 0.1842 | 0.4585 | 89.0000 | 209.0000 | 231.0000
  1 | 16 | 0.0001 | 0.2162 | 0.0000 | 1 | 0.4536 | 11.1140 | 0.1579 | 0.4776 | 19.0000 | 139.0000 | 142.0000
  1 | 8 | 0.001 | 0.2162 | 0.0000 | 1 | 0.4799 | 2.2475 | 0.0789 | 0.3535 | 24.0000 | 144.0000 | 144.0000
  1 | 8 | 0.01 | 0.2162 | 0.0000 | 1 | 0.4541 | 2.3197 | 0.1842 | 0.4251 | 144.0000 | 264.0000 | 291.0000
  2 | 8 | 0.0001 | 0.2162 | 0.0000 | 1 | 0.5399 | 7.9434 | 0.1842 | 0.4387 | 34.0000 | 154.0000 | 184.0000
  1 | 32 | 0.0001 | 0.1892 | 0.0000 | 1 | 0.4572 | 2.1188 | 0.1842 | 0.5343 | 54.0000 | 174.0000 | 191.0000
  1 | 32 | 0.01 | 0.1892 | 0.0000 | 1 | 0.4309 | 2.7898 | 0.1579 | 0.3635 | 69.0000 | 189.0000 | 194.0000
  2 | 8 | 0.001 | 0.1892 | 0.0000 | 1 | 0.5254 | 3.1568 | 0.1053 | 0.4081 | 14.0000 | 134.0000 | 150.0000
  1 | 16 | 0.001 | 0.1622 | 0.0000 | 1 | 0.4487 | 2.1963 | 0.0789 | 0.5131 | 19.0000 | 139.0000 | 131.0000
  1 | 32 | 0.001 | 0.1622 | 0.0000 | 1 | 0.4615 | 2.0936 | 0.1053 | 0.4403 | 19.0000 | 139.0000 | 142.0000
  1 | 8 | 0.0001 | 0.1622 | 0.0000 | 1 | 0.4643 | 15.8058 | 0.1053 | 0.4448 | 9.0000 | 129.0000 | 131.0000


========================================================================
Sweep: n1ccfebd  (neuro_tdl/neuro/n1ccfebd)
Metric: val_best_rerun/accuracy (averaged over data_seed in [0, 1, 2])
Grid parameters: ['model.backbone.n_layers', 'model.feature_encoder.out_channels', 'optimizer.parameters.lr']
Total configs (rows): 9  (expected: runs/3)
========================================================================
  model.backbone.n_layers | model.feature_encoder.out_channels | optimizer.parameters.lr | mean_val_best_rerun_accuracy | std_val_best_rerun_accuracy | n_seeds | mean_val_best_rerun_auroc | mean_val_best_rerun_loss | mean_test_best_rerun_accuracy | mean_test_best_rerun_auroc | mean_best_epoch | mean_epoch | mean_runtime
  -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1 | 16 | 0.01 | 0.2703 | 0.0000 | 1 | 0.5167 | 2.6769 | 0.2632 | 0.4383 | 144.0000 | 264.0000 | 387.0000
  1 | 16 | 0.001 | 0.1892 | 0.0000 | 1 | 0.4696 | 2.4060 | 0.1316 | 0.4458 | 79.0000 | 199.0000 | 321.0000
  1 | 8 | 0.01 | 0.1892 | 0.0000 | 1 | 0.4844 | 2.1803 | 0.1316 | 0.3966 | 9.0000 | 129.0000 | 204.0000
  1 | 16 | 0.0001 | 0.1622 | 0.0000 | 1 | 0.4506 | 5.7500 | 0.1842 | 0.4746 | 9.0000 | 129.0000 | 216.0000
  1 | 32 | 0.001 | 0.1622 | 0.0000 | 1 | 0.4706 | 2.7158 | 0.1316 | 0.4568 | 9.0000 | 129.0000 | 201.0000
  1 | 32 | 0.01 | 0.1622 | 0.0000 | 1 | 0.4371 | 2.4755 | 0.1053 | 0.4319 | 19.0000 | 139.0000 | 218.0000
  1 | 8 | 0.0001 | 0.1622 | 0.0000 | 1 | 0.4976 | 4.1524 | 0.1842 | 0.4944 | 14.0000 | 134.0000 | 206.0000
  1 | 8 | 0.001 | 0.1622 | 0.0000 | 1 | 0.4667 | 2.3206 | 0.1053 | 0.4458 | 54.0000 | 174.0000 | 262.0000
  1 | 32 | 0.0001 | 0.1351 | 0.0000 | 1 | 0.4337 | 3.0332 | 0.1053 | 0.4806 | 9.0000 | 129.0000 | 199.0000


========================================================================
Sweep: yqsnesm2  (neuro_tdl/neuro/yqsnesm2)
Metric: val_best_rerun/accuracy (averaged over data_seed in [0, 1, 2])
Grid parameters: ['model', 'model.backbone.num_layers', 'model.feature_encoder.out_channels', 'optimizer.parameters.lr']
Total configs (rows): 81  (expected: runs/3)
========================================================================
  model | model.backbone.num_layers | model.feature_encoder.out_channels | optimizer.parameters.lr | mean_val_best_rerun_accuracy | std_val_best_rerun_accuracy | n_seeds | mean_val_best_rerun_auroc | mean_val_best_rerun_loss | mean_test_best_rerun_accuracy | mean_test_best_rerun_auroc | mean_best_epoch | mean_epoch | mean_runtime
  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  graph/gin | 2 | 16 | 0.01 | 0.2613 | 0.0127 | 3 | 0.5274 | 2.4134 | 0.1579 | 0.4419 | 57.3333 | 177.3333 | 175.0000
  graph/gin | 1 | 8 | 0.001 | 0.2523 | 0.0555 | 3 | 0.4464 | 4.6054 | 0.1140 | 0.4370 | 25.6667 | 145.6667 | 137.0000
  graph/gin | 3 | 32 | 0.01 | 0.2432 | 0.0221 | 3 | 0.4405 | 2.2470 | 0.1053 | 0.4641 | 39.0000 | 159.0000 | 153.6667
  graph/gat | 3 | 16 | 0.01 | 0.2432 | 0.0584 | 3 | 0.4553 | 2.2205 | 0.1491 | 0.4621 | 84.0000 | 197.3333 | 183.0000
  graph/gat | 2 | 16 | 0.001 | 0.2342 | 0.0459 | 3 | 0.5011 | 3.8368 | 0.1842 | 0.4892 | 12.3333 | 132.3333 | 141.0000
  graph/gin | 3 | 8 | 0.01 | 0.2342 | 0.0127 | 3 | 0.4930 | 2.0993 | 0.1053 | 0.4396 | 17.3333 | 137.3333 | 134.3333
  graph/gcn | 1 | 32 | 0.0001 | 0.2342 | 0.0255 | 3 | 0.4956 | 4.1375 | 0.1754 | 0.4671 | 25.6667 | 145.6667 | 133.6667
  graph/gin | 3 | 16 | 0.0001 | 0.2342 | 0.0337 | 3 | 0.4385 | 2.4838 | 0.1667 | 0.4601 | 99.0000 | 219.0000 | 214.3333
  graph/gat | 1 | 16 | 0.001 | 0.2252 | 0.0127 | 3 | 0.4709 | 2.5381 | 0.1404 | 0.3925 | 67.3333 | 187.3333 | 179.3333
  graph/gat | 3 | 32 | 0.01 | 0.2252 | 0.0255 | 3 | 0.4912 | 2.8664 | 0.1404 | 0.4110 | 79.0000 | 199.0000 | 207.6667
  graph/gcn | 1 | 16 | 0.0001 | 0.2252 | 0.0510 | 3 | 0.4587 | 6.3409 | 0.0965 | 0.4285 | 22.3333 | 142.3333 | 138.6667
  graph/gcn | 1 | 8 | 0.01 | 0.2252 | 0.0255 | 3 | 0.4926 | 2.2422 | 0.1404 | 0.4422 | 52.3333 | 172.3333 | 165.3333
  graph/gcn | 2 | 16 | 0.01 | 0.2252 | 0.0127 | 3 | 0.4373 | 2.4345 | 0.1316 | 0.4653 | 50.6667 | 170.6667 | 161.6667
  graph/gcn | 3 | 32 | 0.01 | 0.2252 | 0.0255 | 3 | 0.4463 | 2.7561 | 0.1579 | 0.3965 | 115.6667 | 234.0000 | 231.0000
  graph/gin | 3 | 16 | 0.001 | 0.2252 | 0.0255 | 3 | 0.4847 | 2.2762 | 0.2193 | 0.4510 | 37.3333 | 157.3333 | 153.6667
  graph/gat | 1 | 8 | 0.001 | 0.2252 | 0.0555 | 3 | 0.4878 | 2.6090 | 0.0877 | 0.3657 | 72.3333 | 192.3333 | 185.0000
  graph/gat | 2 | 32 | 0.01 | 0.2252 | 0.0337 | 3 | 0.4803 | 2.7837 | 0.1754 | 0.4476 | 74.0000 | 194.0000 | 192.0000
  graph/gcn | 1 | 16 | 0.01 | 0.2252 | 0.0555 | 3 | 0.4556 | 2.3656 | 0.1930 | 0.4204 | 62.3333 | 182.3333 | 173.0000
  graph/gcn | 2 | 8 | 0.01 | 0.2252 | 0.0337 | 3 | 0.4742 | 2.1994 | 0.1228 | 0.4204 | 44.0000 | 164.0000 | 159.0000
  graph/gin | 1 | 32 | 0.001 | 0.2252 | 0.0337 | 3 | 0.4648 | 2.3228 | 0.1491 | 0.4438 | 64.0000 | 184.0000 | 181.0000
  graph/gin | 3 | 8 | 0.001 | 0.2252 | 0.0337 | 3 | 0.4866 | 2.4300 | 0.1053 | 0.4123 | 137.3333 | 257.3333 | 248.6667
  graph/gcn | 2 | 8 | 0.0001 | 0.2252 | 0.0459 | 3 | 0.4564 | 6.2347 | 0.1404 | 0.4371 | 30.6667 | 150.6667 | 138.0000
  graph/gcn | 1 | 32 | 0.01 | 0.2162 | 0.0221 | 3 | 0.4417 | 2.4938 | 0.1404 | 0.4477 | 74.0000 | 194.0000 | 186.6667
  graph/gin | 1 | 16 | 0.01 | 0.2162 | 0.0221 | 3 | 0.4367 | 2.3682 | 0.1316 | 0.4464 | 84.0000 | 204.0000 | 191.0000
  graph/gin | 2 | 32 | 0.0001 | 0.2162 | 0.0221 | 3 | 0.4655 | 3.8352 | 0.1228 | 0.4178 | 20.6667 | 140.6667 | 146.6667
  graph/gin | 2 | 32 | 0.001 | 0.2162 | 0.0221 | 3 | 0.4930 | 2.4683 | 0.1842 | 0.4181 | 35.6667 | 155.6667 | 154.6667
  graph/gcn | 2 | 32 | 0.01 | 0.2162 | 0.0382 | 3 | 0.4945 | 2.3440 | 0.1579 | 0.4373 | 67.3333 | 187.3333 | 188.0000
  graph/gin | 1 | 32 | 0.01 | 0.2162 | 0.0382 | 3 | 0.4706 | 2.8225 | 0.2632 | 0.4550 | 20.6667 | 140.6667 | 136.3333
  graph/gat | 1 | 8 | 0.01 | 0.2162 | 0.0584 | 3 | 0.4644 | 2.1929 | 0.1404 | 0.4223 | 79.0000 | 199.0000 | 201.0000
  graph/gin | 2 | 8 | 0.01 | 0.2162 | 0.0441 | 3 | 0.4948 | 2.1203 | 0.1667 | 0.4654 | 45.6667 | 165.6667 | 159.0000
  graph/gat | 3 | 16 | 0.0001 | 0.2072 | 0.0127 | 3 | 0.4812 | 4.0553 | 0.0789 | 0.4260 | 50.6667 | 170.6667 | 169.0000
  graph/gat | 3 | 16 | 0.001 | 0.2072 | 0.0127 | 3 | 0.4663 | 2.2860 | 0.1491 | 0.4443 | 54.0000 | 174.0000 | 175.6667
  graph/gcn | 3 | 8 | 0.01 | 0.2072 | 0.0255 | 3 | 0.4853 | 2.4671 | 0.1404 | 0.4268 | 55.6667 | 175.6667 | 172.3333
  graph/gin | 2 | 16 | 0.001 | 0.2072 | 0.0255 | 3 | 0.4472 | 2.2585 | 0.1491 | 0.3842 | 35.6667 | 155.6667 | 148.0000
  graph/gin | 2 | 32 | 0.01 | 0.2072 | 0.0127 | 3 | 0.4543 | 2.9655 | 0.1404 | 0.4513 | 15.6667 | 135.6667 | 135.0000
  graph/gin | 1 | 8 | 0.0001 | 0.2072 | 0.0892 | 3 | 0.4323 | 6.6300 | 0.0965 | 0.4170 | 102.3333 | 215.6667 | 201.0000
  graph/gat | 2 | 32 | 0.001 | 0.1982 | 0.0337 | 3 | 0.4835 | 2.2799 | 0.1404 | 0.4353 | 20.6667 | 140.6667 | 152.6667
  graph/gcn | 3 | 16 | 0.0001 | 0.1982 | 0.0255 | 3 | 0.4713 | 5.9862 | 0.1491 | 0.4738 | 20.6667 | 140.6667 | 138.0000
  graph/gat | 3 | 8 | 0.01 | 0.1982 | 0.0555 | 3 | 0.4944 | 2.2481 | 0.1140 | 0.4434 | 59.0000 | 179.0000 | 172.6667
  graph/gcn | 2 | 8 | 0.001 | 0.1892 | 0.0000 | 3 | 0.4558 | 3.3445 | 0.1228 | 0.4240 | 12.3333 | 132.3333 | 128.0000
  graph/gin | 3 | 16 | 0.01 | 0.1892 | 0.0000 | 2 | 0.4508 | 2.7113 | 0.1316 | 0.4025 | 9.0000 | 129.0000 | 123.0000
  graph/gin | 3 | 32 | 0.001 | 0.1892 | 0.0000 | 3 | 0.4686 | 2.2837 | 0.1140 | 0.4730 | 9.0000 | 129.0000 | 133.0000
  graph/gat | 2 | 16 | 0.01 | 0.1892 | 0.0221 | 3 | 0.4604 | 2.4899 | 0.0965 | 0.4533 | 24.0000 | 144.0000 | 148.3333
  graph/gat | 2 | 32 | 0.0001 | 0.1892 | 0.0221 | 3 | 0.4830 | 2.3288 | 0.0877 | 0.4552 | 35.6667 | 155.6667 | 162.0000
  graph/gat | 2 | 8 | 0.01 | 0.1892 | 0.0221 | 3 | 0.4504 | 2.1998 | 0.1228 | 0.4262 | 42.3333 | 162.3333 | 158.3333
