
========================================================================
Sweep: 5ga6sl7j  (neuro_tdl/neuro/5ga6sl7j)
Metric: val_best_rerun/accuracy (averaged over data_seed in [0, 1, 2])
Grid parameters: ['model.backbone.n_layers', 'model.feature_encoder.out_channels', 'optimizer.parameters.lr']
Total configs (rows): 27  (expected: runs/3)
========================================================================
  model.backbone.n_layers | model.feature_encoder.out_channels | optimizer.parameters.lr | mean_val_best_rerun_accuracy | std_val_best_rerun_accuracy | n_seeds | mean_val_best_rerun_auroc | mean_val_best_rerun_loss | mean_test_best_rerun_accuracy | mean_test_best_rerun_auroc | mean_best_epoch | mean_epoch | mean_runtime
  -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2 | 8 | 0.001 | 0.2523 | 0.0337 | 3 | 0.4771 | 2.4468 | 0.1491 | 0.4964 | 52.3333 | 172.3333 | 1003.6667
  2 | 8 | 0.0001 | 0.2342 | 0.1089 | 3 | 0.5067 | 3.6707 | 0.1667 | 0.4755 | 55.6667 | 175.6667 | 1010.6667
  2 | 32 | 0.01 | 0.2252 | 0.0127 | 3 | 0.4812 | 2.4223 | 0.1754 | 0.4530 | 107.3333 | 225.6667 | 1316.3333
  2 | 8 | 0.01 | 0.2252 | 0.0127 | 3 | 0.5038 | 2.6413 | 0.1404 | 0.4381 | 80.6667 | 200.6667 | 1138.6667
  2 | 16 | 0.01 | 0.2252 | 0.0555 | 3 | 0.4652 | 2.4459 | 0.1404 | 0.4226 | 60.6667 | 180.6667 | 984.6667
  1 | 32 | 0.01 | 0.2162 | 0.0000 | 3 | 0.4577 | 2.3315 | 0.1053 | 0.4581 | 39.0000 | 159.0000 | 825.3333
  2 | 32 | 0.001 | 0.2162 | 0.0000 | 3 | 0.4735 | 2.8377 | 0.1053 | 0.4436 | 114.0000 | 234.0000 | 1295.0000
  1 | 32 | 0.001 | 0.2162 | 0.0221 | 3 | 0.4754 | 2.4287 | 0.1316 | 0.4431 | 100.6667 | 220.6667 | 1103.3333
  3 | 32 | 0.01 | 0.2162 | 0.0221 | 3 | 0.4515 | 2.5451 | 0.1228 | 0.4273 | 100.6667 | 220.6667 | 1343.6667
  1 | 16 | 0.001 | 0.2162 | 0.0382 | 3 | 0.4759 | 2.2005 | 0.1404 | 0.4061 | 17.3333 | 137.3333 | 767.6667
  1 | 8 | 0.01 | 0.2162 | 0.0441 | 3 | 0.4876 | 2.2944 | 0.1140 | 0.4001 | 64.0000 | 184.0000 | 956.0000
  2 | 16 | 0.001 | 0.2072 | 0.0255 | 3 | 0.4540 | 2.4426 | 0.0965 | 0.3677 | 35.6667 | 155.6667 | 884.6667
  3 | 32 | 0.001 | 0.2072 | 0.0255 | 3 | 0.4798 | 2.7625 | 0.1140 | 0.4264 | 64.0000 | 184.0000 | 1164.0000
  1 | 16 | 0.0001 | 0.1982 | 0.0127 | 3 | 0.4945 | 4.1056 | 0.1140 | 0.4152 | 12.3333 | 132.3333 | 756.0000
  1 | 16 | 0.01 | 0.1982 | 0.0127 | 3 | 0.4440 | 2.3754 | 0.1579 | 0.4183 | 44.0000 | 164.0000 | 858.0000
  3 | 16 | 0.01 | 0.1982 | 0.0127 | 3 | 0.4196 | 2.2785 | 0.1316 | 0.3974 | 54.0000 | 174.0000 | 1071.0000
  2 | 16 | 0.0001 | 0.1982 | 0.0337 | 3 | 0.4860 | 2.7827 | 0.0877 | 0.4404 | 27.3333 | 147.3333 | 853.3333
  3 | 16 | 0.0001 | 0.1982 | 0.0337 | 3 | 0.4773 | 2.5425 | 0.1754 | 0.4802 | 47.3333 | 167.3333 | 1004.6667
  3 | 16 | 0.001 | 0.1892 | 0.0382 | 3 | 0.4855 | 2.2464 | 0.1228 | 0.4073 | 32.3333 | 152.3333 | 866.6667
  3 | 8 | 0.0001 | 0.1892 | 0.0382 | 3 | 0.4244 | 4.2130 | 0.1579 | 0.4293 | 62.3333 | 182.3333 | 1056.6667
  1 | 32 | 0.0001 | 0.1892 | 0.0382 | 3 | 0.4576 | 2.6781 | 0.1491 | 0.4338 | 30.6667 | 150.6667 | 795.3333
  3 | 8 | 0.001 | 0.1802 | 0.0127 | 3 | 0.4441 | 2.7628 | 0.1316 | 0.4711 | 25.6667 | 145.6667 | 886.6667
  3 | 8 | 0.01 | 0.1802 | 0.0127 | 3 | 0.4646 | 2.2442 | 0.1491 | 0.3919 | 35.6667 | 155.6667 | 933.6667
  1 | 8 | 0.001 | 0.1622 | 0.0221 | 3 | 0.4641 | 2.2388 | 0.1316 | 0.4240 | 29.0000 | 149.0000 | 792.6667
  2 | 32 | 0.0001 | 0.1622 | 0.0221 | 3 | 0.4538 | 2.4481 | 0.1228 | 0.4022 | 59.0000 | 179.0000 | 982.6667
  3 | 32 | 0.0001 | 0.1622 | 0.0000 | 3 | 0.4630 | 2.4967 | 0.0702 | 0.4079 | 62.3333 | 182.3333 | 1074.3333
  1 | 8 | 0.0001 | 0.1532 | 0.0459 | 3 | 0.4889 | 3.9741 | 0.1316 | 0.4699 | 14.0000 | 134.0000 | 747.0000
